self.index_counter , msg.area, msg.perimeter, msg.sides, msg.scaledarea, msg.x, msg.y, msg.z,Label
0,0.000216088,0.078681248,0,0,0.22401497761408487,0.5371975501378378,-0.476656834,0
1,0.000306361,0.090095594,0,0,0.2170017659664154,0.5318986177444458,-0.534078797,0
2,0.000208991,0.067560627,0,0,0.2140118678410848,0.5251989364624023,-0.524270972,0
3,0.00023713,0.072140802,0,0,0.24853567282358804,0.5457812349001566,-0.488706986,0
4,0.00023713,0.072140802,0,0,0.24853567282358804,0.5457812349001566,-0.488706986,0
5,0.00023713,0.072140802,0,0,0.24853567282358804,0.5457812349001566,-0.488706986,0
6,0.000395208,0.098616345,0,0,0.21934128801027933,0.5369582772254944,-0.417906632,0
7,0.00033334,0.11168635995537057,0,0,0.18178733189900717,0.5312217076619467,-0.362310658,0
8,0.000187447,0.082791098,0,0,0.16828679045041403,0.5287399888038635,-0.474910945,0
9,0.000230418,0.10383102953952822,0,0,0.43595414360364276,0.4515777826309204,-0.672788123,0
10,0.000230418,0.10383102953952822,0,0,0.43595414360364276,0.4515777826309204,-0.672788123,0
11,0.000230418,0.10383102953952822,0,0,0.43595414360364276,0.4515777826309204,-0.672788123,0
12,0.000495359,0.10990772387966824,0,0,0.4494718114535014,0.6308414737383524,-0.674829086,0
13,0.000495359,0.10990772387966824,0,0,0.4494718114535014,0.6308414737383524,-0.674829086,0
14,0.000281481,0.091774998,0,0,0.3654725253582001,0.5016940335432688,-0.893152893,0
15,0.000229817,0.075726529,0,0,0.26659396290779114,0.48161277174949646,-0.823809703,0
16,9.210827403061117e-05,0.048488206,0,0,0.24076667428016663,0.49593010544776917,-0.590419332,0
17,0.000303578,0.098403066,0,0,0.27294949690500897,0.40335442622502643,-0.538464904,0
18,0.000303578,0.098403066,0,0,0.27294949690500897,0.40335442622502643,-0.538464904,0
19,0.000303578,0.098403066,0,0,0.27294949690500897,0.40335442622502643,-0.538464904,0
20,0.000303578,0.098403066,0,0,0.27294949690500897,0.40335442622502643,-0.538464904,0
21,0.000303578,0.098403066,0,0,0.27294949690500897,0.40335442622502643,-0.538464904,0
22,0.000204661,0.098520834,0,0,0.45666956901550293,0.1997143824895223,-0.132118993,0
23,0.000288921,0.10620712153002221,0,0,0.4134114682674408,0.15204175313313803,0.18574349582195282,0
24,0.000415571,0.12235986929413883,0,0,0.3644576966762543,0.2600487271944682,-0.370429834,0
25,7.367332362395729e-05,0.074700454,0,0,0.38848787546157837,0.4380066593488057,-0.542083164,0
26,0.000130993,0.07779506,0,0,0.37766246994336444,0.43991034229596454,-0.221383383,0
27,5.3061319453817646e-05,0.10709684385581852,0,0,0.4069252411524455,0.4704142411549886,-0.569598516,0
28,0.00027884,0.12706266068704075,0,0,0.4110904435316722,0.5981421868006388,-1.005695601,0
29,0.000145935,0.06658373,0,0,0.37853195269902545,0.6889811555544535,-0.728250464,0
30,0.000121296,0.062248647,0,0,0.3944677710533142,0.6653729279836019,-0.716620902,0
31,4.038172220255376e-05,0.053407256,0,0,0.3867550988992055,0.6470964749654134,-0.833077331,0
32,9.516821064181613e-05,0.099123289,0,0,0.3405272364616394,0.6194688280423483,-1.02676328,0
33,0.000114457,0.065965564,0,0,0.3148204783598582,0.6012993057568868,-0.848551313,0
34,0.000287971,0.083976718,0,0,0.3733999927838643,0.6872358520825704,-0.865433693,0
35,0.000932275,0.16780178881970098,0,0,0.34492355585098267,0.889197846,-0.552480102,0
36,0.000421163,0.14774313035516115,0,0,0.31176987290382385,0.9338505466779073,-0.529332946,0
37,0.000326715,0.14016137694175096,0,0,0.2868426541487376,0.9776872595151266,-0.51949212,0
38,0.000568005,0.12486183989600513,0,0,0.21374319990475973,0.9142910043398539,-0.380024165,0
39,0.000127579,0.088961397,0,0,0.21975754698117575,0.630083422,-0.574046334,0
40,0.0005698,0.15855372934328577,0,0,0.2524891098340352,0.4911116560300191,-0.817292412,0
41,0.000391092,0.1403260218300131,0,0,0.32848110795021057,0.42027992010116577,-0.854342242,0
42,0.000231554,0.071671119,0,0,0.14131681124369302,0.5215088327725729,-0.929337819,0
43,1.0709321202284627e-05,0.05000896,0,0,0.2643931806087494,0.6270749767621359,-0.939599514,0
44,0.000844705,0.13804183911243084,0,0,0.41382766763369244,0.7671746810277303,-0.706888815,0
45,0.000739115,0.1331350576678167,0,0,0.4055305023988088,0.8403581579526266,-0.70247076,0
46,0.000427971,0.12093162640465818,0,0,0.38348044951756793,0.9569254716237386,-0.615094801,0
